
List of user-set options:

                                    Name   Value                used
                        file_print_level = 5                     yes
                   hessian_approximation = limited-memory        yes
                           linear_solver = mumps                 yes
                                max_iter = 800                   yes
                      nlp_scaling_method = user-scaling          yes
                             output_file = /Users/marcello/Documents/zhaw/BAZL/DRACONIAN/Dymos/gemini_traj_v4_out/IPOPT.out  yes
                             print_level = 5                     yes
                      print_user_options = yes                   yes
                                      sb = yes                   yes
This is Ipopt version 3.14.19, running with linear solver MUMPS 5.8.2.

Number of nonzeros in equality constraint Jacobian...:    26049
Number of nonzeros in inequality constraint Jacobian.:        0
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:      223
                     variables with only lower bounds:       30
                variables with lower and upper bounds:      108
                     variables with only upper bounds:        0
Total number of equality constraints.................:      177
Total number of inequality constraints...............:        0
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:        0

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
   0  9.0300000e-02 1.00e+00 1.65e-01   0.0 0.00e+00    -  0.00e+00 0.00e+00   0
   1  6.3233213e-01 9.88e-01 1.41e+02   0.6 2.00e+01    -  2.51e-04 4.79e-03F  1
   2  5.1188864e+00 6.65e+00 6.10e+02   0.8 2.65e+01    -  4.15e-02 3.14e-01f  1
   3  5.1065838e+00 6.37e+00 5.75e+02   0.8 2.66e+01    -  3.67e-01 4.93e-02h  1
   4  4.5580473e+00 6.06e+00 6.21e+02   0.8 4.22e+01    -  1.89e-01 7.40e-02h  1
   5  3.5972241e+00 6.03e+00 1.08e+03   0.8 4.04e+01    -  2.01e-01 2.58e-01h  1
   6  3.2919168e+00 5.46e+00 1.02e+03   0.8 5.15e+01    -  6.82e-02 1.38e-01f  1
   7  2.3198678e+00 2.61e+01 5.87e+02   0.8 4.62e+01    -  2.52e-01 1.00e+00f  1
   8  2.5619748e+00 1.67e+01 2.40e+02   0.8 8.33e+00    -  8.39e-01 8.20e-01f  1
   9  2.6397178e+00 7.82e+00 5.06e+02   0.8 1.37e+01    -  5.41e-01 7.65e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  10  2.2242321e+00 3.24e+00 3.42e+01   0.8 1.35e+01    -  6.80e-01 1.00e+00f  1
  11 -1.8661262e+00 4.13e+00 1.27e+01   0.1 1.72e+01    -  7.87e-01 1.00e+00f  1
  12  1.7172571e+00 4.05e+00 3.14e+00  -0.5 7.74e+00    -  8.63e-01 1.00e+00h  1
  13  6.8936098e-01 1.44e+01 3.61e+00  -0.4 4.54e+01    -  6.88e-01 1.00e+00f  1
  14  1.3199263e-01 1.66e+02 1.65e+00  -0.4 1.42e+02    -  5.57e-01 1.00e+00f  1
  15  1.0023580e+00 1.32e+02 4.19e-01  -0.4 2.66e+02    -  6.39e-01 1.00e+00h  1
  16  2.0151817e+00 5.91e+01 5.65e-01  -0.4 4.09e+02    -  7.78e-01 1.00e+00h  1
  17  2.7978340e+00 1.48e+02 1.07e+00  -0.4 5.93e+02    -  8.52e-01 1.00e+00h  1
  18  3.4246864e+00 3.28e+02 5.95e-01  -0.4 9.54e+02    -  7.47e-01 1.00e+00h  1
  19  3.3274762e+00 4.87e+02 5.39e-01  -0.4 1.67e+03    -  7.26e-01 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  20  4.4503278e+00 8.44e+02 3.91e-01  -0.4 9.15e+02    -  1.00e+00 1.00e+00h  1
  21  3.4303897e+00 9.49e+02 6.28e-01  -0.4 1.62e+03    -  1.00e+00 1.00e+00h  1
  22  3.8414066e+00 7.19e+02 5.46e-01  -0.4 2.08e+03    -  1.00e+00 5.00e-01h  2
  23  3.2816050e+00 1.56e+03 3.55e-01  -0.4 1.61e+03    -  1.00e+00 1.00e+00h  1
  24  3.7558620e+00 9.08e+02 3.98e-01  -0.4 1.36e+03    -  1.00e+00 1.00e+00h  1
  25  3.9249095e+00 7.42e+02 3.40e-01  -0.4 1.11e+03    -  1.00e+00 5.00e-01h  2
  26  4.0544883e+00 5.94e+02 6.26e-01  -0.4 3.60e+03    -  1.00e+00 5.00e-01h  2
  27  4.2856995e+00 4.58e+02 5.16e-01  -0.4 1.10e+03    -  1.00e+00 5.00e-01h  2
